Interval,Transfer,Bandwidth,Jitter,Loss,Delay(ms),Convergence(s)
0.0-1.0,58.7 MBytes,61.5514112 Kbits/sec,8.65 ms,0.36 %,55,11
0.0-1.0,61.48 MBytes,64.46645247999999 Kbits/sec,7.1 ms,0.2 %,135,14
0.0-1.0,90.87 MBytes,95.28410112 Kbits/sec,1.99 ms,0.4 %,139,9
0.0-1.0,81.67 MBytes,85.63720192 Kbits/sec,4.59 ms,0.24 %,144,15
0.0-1.0,81.96 MBytes,85.94128896 Kbits/sec,2.39 ms,0.11 %,145,14
0.0-1.0,81.61 MBytes,85.57428736 Kbits/sec,4.76 ms,0.35 %,33,6
0.0-1.0,59.29 MBytes,62.170071039999996 Kbits/sec,0.71 ms,0.21 %,95,12
0.0-1.0,63.86 MBytes,66.96206336 Kbits/sec,7.46 ms,0.37 %,117,12
0.0-1.0,55.52 MBytes,58.216939520000004 Kbits/sec,5.16 ms,0.16 %,58,10
0.0-1.0,72.01 MBytes,75.50795776 Kbits/sec,2.98 ms,0.34 %,133,10
0.0-1.0,58.02 MBytes,60.838379520000004 Kbits/sec,0.05 ms,0.29 %,55,10
0.0-1.0,56.41 MBytes,59.15017216 Kbits/sec,3.52 ms,0.13 %,33,14
0.0-1.0,62.35 MBytes,65.3787136 Kbits/sec,7.12 ms,0.41 %,114,6
0.0-1.0,67.64 MBytes,70.92568064 Kbits/sec,9.72 ms,0.43 %,140,7
0.0-1.0,52.91 MBytes,55.48015615999999 Kbits/sec,1.35 ms,0.34 %,111,11
0.0-1.0,46.94 MBytes,49.220157439999994 Kbits/sec,0.63 ms,0.22 %,92,7
0.0-1.0,49.01 MBytes,51.39070975999999 Kbits/sec,6.05 ms,0.21 %,111,6
0.0-1.0,57.31 MBytes,60.09389056 Kbits/sec,2.5 ms,0.33 %,33,13
0.0-1.0,43.37 MBytes,45.47674111999999 Kbits/sec,2.26 ms,0.49 %,135,7
0.0-1.0,89.88 MBytes,94.24601087999999 Kbits/sec,4.86 ms,0.43 %,131,10
0.0-1.0,58.16 MBytes,60.98518015999999 Kbits/sec,8.65 ms,0.01 %,73,9
0.0-1.0,74.35 MBytes,77.96162559999999 Kbits/sec,7.15 ms,0.11 %,61,6
0.0-1.0,77.81 MBytes,81.58969856 Kbits/sec,3.11 ms,0.1 %,51,11
0.0-1.0,61.54 MBytes,64.52936704 Kbits/sec,9.02 ms,0.49 %,124,14
0.0-1.0,53.7 MBytes,56.3085312 Kbits/sec,4.85 ms,0.28 %,110,11
0.0-1.0,81.58 MBytes,85.54283007999999 Kbits/sec,6.88 ms,0.38 %,84,12
0.0-1.0,64.0 MBytes,67.108864 Kbits/sec,5.59 ms,0.36 %,87,8
0.0-1.0,71.93 MBytes,75.42407168 Kbits/sec,5.68 ms,0.26 %,146,8
0.0-1.0,51.01 MBytes,53.487861759999994 Kbits/sec,6.59 ms,0.49 %,90,11
0.0-1.0,97.89 MBytes,102.64510464 Kbits/sec,4.02 ms,0.1 %,48,6
