Interval,Transfer,Bandwidth,Jitter,Loss,Delay(ms),Convergence(s)
0.0-1.0,78.74 MBytes,82.56487424 Kbits/sec,1.56 ms,0.31 %,44,7
0.0-1.0,116.64 MBytes,122.30590464 Kbits/sec,6.75 ms,0.38 %,70,5
0.0-1.0,87.12 MBytes,91.35194112 Kbits/sec,4.26 ms,0.2 %,18,3
0.0-1.0,51.79 MBytes,54.30575104 Kbits/sec,9.15 ms,0.04 %,67,2
0.0-1.0,105.45 MBytes,110.5723392 Kbits/sec,8.42 ms,0.1 %,49,5
0.0-1.0,91.57 MBytes,96.01810431999999 Kbits/sec,5.56 ms,0.3 %,55,3
0.0-1.0,57.75 MBytes,60.555263999999994 Kbits/sec,9.3 ms,0.43 %,41,3
0.0-1.0,57.54 MBytes,60.335063039999994 Kbits/sec,7.89 ms,0.24 %,45,4
0.0-1.0,72.21 MBytes,75.71767295999999 Kbits/sec,2.66 ms,0.21 %,20,6
0.0-1.0,102.26 MBytes,107.22738176 Kbits/sec,3.52 ms,0.4 %,62,4
0.0-1.0,92.43 MBytes,96.91987968000001 Kbits/sec,8.36 ms,0.49 %,32,3
0.0-1.0,107.2 MBytes,112.4073472 Kbits/sec,3.08 ms,0.14 %,49,7
0.0-1.0,52.33 MBytes,54.871982079999995 Kbits/sec,7.76 ms,0.47 %,63,7
0.0-1.0,98.39 MBytes,103.16939264 Kbits/sec,9.47 ms,0.26 %,73,4
0.0-1.0,116.78 MBytes,122.45270527999999 Kbits/sec,7.13 ms,0.08 %,37,6
0.0-1.0,84.87 MBytes,88.99264512 Kbits/sec,7.47 ms,0.05 %,57,2
0.0-1.0,79.33 MBytes,83.18353408 Kbits/sec,2.69 ms,0.32 %,38,2
0.0-1.0,83.22 MBytes,87.26249471999999 Kbits/sec,2.34 ms,0.48 %,18,6
0.0-1.0,80.79 MBytes,84.71445504 Kbits/sec,5.73 ms,0.03 %,26,7
0.0-1.0,98.68 MBytes,103.47347968 Kbits/sec,9.38 ms,0.45 %,50,5
0.0-1.0,72.44 MBytes,75.95884543999999 Kbits/sec,7.72 ms,0.33 %,53,3
0.0-1.0,84.86 MBytes,88.98215936 Kbits/sec,2.08 ms,0.12 %,19,7
0.0-1.0,81.03 MBytes,84.96611328 Kbits/sec,1.28 ms,0.03 %,34,3
0.0-1.0,73.01 MBytes,76.55653376000001 Kbits/sec,8.69 ms,0.06 %,23,4
0.0-1.0,76.16 MBytes,79.85954815999999 Kbits/sec,9.41 ms,0.28 %,63,2
0.0-1.0,60.14 MBytes,63.06136064 Kbits/sec,5.21 ms,0.11 %,62,4
0.0-1.0,98.45 MBytes,103.2323072 Kbits/sec,0.84 ms,0.27 %,45,7
0.0-1.0,91.4 MBytes,95.8398464 Kbits/sec,5.14 ms,0.04 %,41,7
0.0-1.0,116.06 MBytes,121.69773056 Kbits/sec,4.25 ms,0.16 %,21,5
0.0-1.0,97.4 MBytes,102.1313024 Kbits/sec,2.55 ms,0.47 %,37,2
