Interval,Transfer,Bandwidth,Jitter,Loss,Delay(ms),Convergence(s)
0.0-1.0,75.94 MBytes,79.62886144 Kbits/sec,0.55 ms,0.23 %,110,26
0.0-1.0,58.54 MBytes,61.38363904 Kbits/sec,8.81 ms,0.45 %,162,27
0.0-1.0,64.68 MBytes,67.82189568 Kbits/sec,3.33 ms,0.24 %,209,6
0.0-1.0,75.91 MBytes,79.59740416 Kbits/sec,9.89 ms,0.46 %,187,14
0.0-1.0,69.55 MBytes,72.9284608 Kbits/sec,9.97 ms,0.15 %,252,8
0.0-1.0,44.92 MBytes,47.10203392 Kbits/sec,4.55 ms,0.04 %,140,30
0.0-1.0,65.97 MBytes,69.17455872 Kbits/sec,7.94 ms,0.24 %,99,15
0.0-1.0,58.04 MBytes,60.85935103999999 Kbits/sec,2.64 ms,0.0 %,119,7
0.0-1.0,79.59 MBytes,83.45616384 Kbits/sec,3.9 ms,0.41 %,61,30
0.0-1.0,42.33 MBytes,44.386222079999996 Kbits/sec,6.13 ms,0.39 %,127,17
0.0-1.0,75.24 MBytes,78.89485823999999 Kbits/sec,3.04 ms,0.03 %,184,26
0.0-1.0,75.82 MBytes,79.50303231999999 Kbits/sec,6.31 ms,0.44 %,182,5
0.0-1.0,38.03 MBytes,39.87734528 Kbits/sec,7.74 ms,0.17 %,281,18
0.0-1.0,43.66 MBytes,45.78082815999999 Kbits/sec,8.58 ms,0.39 %,67,15
0.0-1.0,51.77 MBytes,54.28477952 Kbits/sec,3.11 ms,0.06 %,118,22
0.0-1.0,40.22 MBytes,42.17372672 Kbits/sec,4.18 ms,0.13 %,119,17
0.0-1.0,76.45 MBytes,80.1636352 Kbits/sec,9.26 ms,0.34 %,278,25
0.0-1.0,34.72 MBytes,36.40655872 Kbits/sec,8.08 ms,0.1 %,206,18
0.0-1.0,38.4 MBytes,40.2653184 Kbits/sec,8.05 ms,0.15 %,94,17
0.0-1.0,47.51 MBytes,49.81784576 Kbits/sec,8.25 ms,0.02 %,59,18
0.0-1.0,76.06 MBytes,79.75469056 Kbits/sec,7.56 ms,0.11 %,162,16
0.0-1.0,51.7 MBytes,54.2113792 Kbits/sec,2.41 ms,0.14 %,80,23
0.0-1.0,40.72 MBytes,42.698014719999996 Kbits/sec,7.25 ms,0.2 %,210,8
0.0-1.0,66.56 MBytes,69.79321856 Kbits/sec,9.99 ms,0.5 %,137,16
0.0-1.0,55.72 MBytes,58.426654719999995 Kbits/sec,8.12 ms,0.48 %,70,30
0.0-1.0,58.04 MBytes,60.85935103999999 Kbits/sec,2.21 ms,0.31 %,265,9
0.0-1.0,34.01 MBytes,35.662069759999994 Kbits/sec,5.71 ms,0.23 %,221,5
0.0-1.0,41.98 MBytes,44.019220479999994 Kbits/sec,4.12 ms,0.28 %,195,19
0.0-1.0,68.17 MBytes,71.48142591999999 Kbits/sec,3.89 ms,0.22 %,77,10
0.0-1.0,38.75 MBytes,40.63232 Kbits/sec,4.72 ms,0.35 %,260,16
