Interval,Transfer,Bandwidth,Jitter,Loss,Delay(ms),Convergence(s)
0.0-1.0,90.66 MBytes,95.06390015999999 Kbits/sec,0.17 ms,0.33 %,101,2
0.0-1.0,40.45 MBytes,42.4148992 Kbits/sec,1.57 ms,0.35 %,88,13
0.0-1.0,91.98 MBytes,96.44802048 Kbits/sec,5.04 ms,0.44 %,134,10
0.0-1.0,85.26 MBytes,89.40158976000001 Kbits/sec,4.18 ms,0.14 %,69,2
0.0-1.0,81.87 MBytes,85.84691712 Kbits/sec,7.32 ms,0.42 %,87,10
0.0-1.0,74.41 MBytes,78.02454015999999 Kbits/sec,4.29 ms,0.12 %,138,4
0.0-1.0,52.16 MBytes,54.693724159999995 Kbits/sec,1.17 ms,0.28 %,81,9
0.0-1.0,87.58 MBytes,91.83428608 Kbits/sec,6.92 ms,0.39 %,77,13
0.0-1.0,99.44 MBytes,104.27039744 Kbits/sec,0.62 ms,0.23 %,84,5
0.0-1.0,99.83 MBytes,104.67934208 Kbits/sec,0.37 ms,0.29 %,126,15
0.0-1.0,99.54 MBytes,104.37525504 Kbits/sec,7.06 ms,0.21 %,53,7
0.0-1.0,61.66 MBytes,64.65519615999999 Kbits/sec,3.72 ms,0.48 %,81,13
0.0-1.0,88.02 MBytes,92.29565951999999 Kbits/sec,0.7 ms,0.04 %,112,7
0.0-1.0,68.98 MBytes,72.33077248000001 Kbits/sec,7.95 ms,0.49 %,106,5
0.0-1.0,63.19 MBytes,66.25951744 Kbits/sec,4.69 ms,0.32 %,135,5
0.0-1.0,82.0 MBytes,85.983232 Kbits/sec,1.48 ms,0.18 %,86,2
0.0-1.0,72.69 MBytes,76.22098944 Kbits/sec,1.91 ms,0.12 %,121,15
0.0-1.0,65.49 MBytes,68.67124224 Kbits/sec,6.07 ms,0.31 %,69,15
0.0-1.0,57.79 MBytes,60.597207039999994 Kbits/sec,8.64 ms,0.37 %,130,13
0.0-1.0,68.48 MBytes,71.80648448 Kbits/sec,0.78 ms,0.04 %,83,5
0.0-1.0,69.79 MBytes,73.18011904000001 Kbits/sec,7.26 ms,0.48 %,85,6
0.0-1.0,91.97 MBytes,96.43753471999999 Kbits/sec,6.45 ms,0.38 %,53,2
0.0-1.0,79.16 MBytes,83.00527616 Kbits/sec,0.66 ms,0.38 %,96,9
0.0-1.0,71.91 MBytes,75.40310016 Kbits/sec,1.76 ms,0.25 %,88,5
0.0-1.0,93.22 MBytes,97.74825471999999 Kbits/sec,1.94 ms,0.25 %,111,6
0.0-1.0,99.8 MBytes,104.64788479999999 Kbits/sec,3.77 ms,0.31 %,105,6
0.0-1.0,47.82 MBytes,50.14290432 Kbits/sec,1.98 ms,0.38 %,90,4
0.0-1.0,96.64 MBytes,101.33438464 Kbits/sec,8.54 ms,0.33 %,25,8
0.0-1.0,93.52 MBytes,98.06282751999998 Kbits/sec,7.88 ms,0.42 %,77,13
0.0-1.0,97.1 MBytes,101.81672959999999 Kbits/sec,1.18 ms,0.13 %,43,14
