Interval,Transfer,Bandwidth,Jitter,Loss,Delay(ms),Convergence(s)
0.0-1.0,58.8 MBytes,61.65626879999999 Kbits/sec,4.85 ms,0.22 %,265,132
0.0-1.0,44.79 MBytes,46.965719039999996 Kbits/sec,9.2 ms,0.09 %,238,82
0.0-1.0,50.39 MBytes,52.83774464 Kbits/sec,5.1 ms,0.2 %,184,37
0.0-1.0,27.26 MBytes,28.58418176 Kbits/sec,0.97 ms,0.18 %,303,81
0.0-1.0,52.08 MBytes,54.609838079999996 Kbits/sec,2.64 ms,0.37 %,214,151
0.0-1.0,31.42 MBytes,32.94625792 Kbits/sec,3.71 ms,0.38 %,268,39
0.0-1.0,26.4 MBytes,27.682406399999998 Kbits/sec,2.48 ms,0.12 %,483,88
0.0-1.0,46.34 MBytes,48.59101184 Kbits/sec,2.86 ms,0.1 %,245,61
0.0-1.0,53.26 MBytes,55.847157759999995 Kbits/sec,9.6 ms,0.07 %,117,73
0.0-1.0,23.45 MBytes,24.589107199999997 Kbits/sec,8.79 ms,0.07 %,351,57
0.0-1.0,35.49 MBytes,37.21396224 Kbits/sec,5.23 ms,0.0 %,134,85
0.0-1.0,57.71 MBytes,60.51332096 Kbits/sec,2.74 ms,0.42 %,459,167
0.0-1.0,23.71 MBytes,24.861736959999998 Kbits/sec,6.39 ms,0.36 %,355,88
0.0-1.0,28.13 MBytes,29.496442879999996 Kbits/sec,3.06 ms,0.37 %,242,140
0.0-1.0,29.16 MBytes,30.57647616 Kbits/sec,4.27 ms,0.45 %,394,144
0.0-1.0,21.63 MBytes,22.680698879999998 Kbits/sec,0.91 ms,0.07 %,160,58
0.0-1.0,31.98 MBytes,33.53346048 Kbits/sec,8.01 ms,0.02 %,364,152
0.0-1.0,41.57 MBytes,43.58930432 Kbits/sec,0.02 ms,0.24 %,381,88
0.0-1.0,27.48 MBytes,28.814868479999998 Kbits/sec,8.32 ms,0.27 %,397,66
0.0-1.0,26.82 MBytes,28.12280832 Kbits/sec,6.79 ms,0.42 %,200,158
0.0-1.0,55.99 MBytes,58.70977024 Kbits/sec,9.14 ms,0.04 %,462,52
0.0-1.0,55.62 MBytes,58.32179711999999 Kbits/sec,2.46 ms,0.43 %,234,83
0.0-1.0,31.22 MBytes,32.736542719999996 Kbits/sec,7.04 ms,0.19 %,219,34
0.0-1.0,51.79 MBytes,54.30575104 Kbits/sec,4.99 ms,0.35 %,111,114
0.0-1.0,37.5 MBytes,39.3216 Kbits/sec,3.37 ms,0.27 %,454,83
0.0-1.0,30.43 MBytes,31.90816768 Kbits/sec,1.19 ms,0.36 %,332,32
0.0-1.0,40.54 MBytes,42.509271039999994 Kbits/sec,1.65 ms,0.38 %,385,134
0.0-1.0,35.45 MBytes,37.1720192 Kbits/sec,0.28 ms,0.04 %,154,170
0.0-1.0,33.8 MBytes,35.441868799999995 Kbits/sec,3.94 ms,0.29 %,145,144
0.0-1.0,44.39 MBytes,46.54628864 Kbits/sec,6.54 ms,0.44 %,127,78
